number,name,status
1,PEP Purpose and Guidelines,
569,Python 3.8 Release Schedule,
452,API for Cryptographic Hash Functions v2.0,
430,Migrating to Python 3 as the default online documentation,
482,Literature Overview for Type Hints,
457,Notation For Positional-Only Parameters,
514,Python registration in the Windows registry,
483,The Theory of Type Hints,
434,IDLE Enhancement Exception for All Branches,
399,Pure Python/C Accelerator Module Compatibility Requirements,
394,The “python” Command on Unix-Like Systems,
333,Python Web Server Gateway Interface v1.0,
291,Backward Compatibility for the Python 2 Standard Library,
290,Code Migration and Modernization,
272,API for Block Encryption Algorithms v1.0,
287,reStructuredText Docstring Format,
8015,Organization of the Python community,
8014,The Commons Governance Model,
8012,The Community Governance Model,
8013,The External Council Governance Model,
8011,Python Governance Model Lead by Trio of Pythonistas,
8010,The Technical Leader Governance Model,
3152,Cofunctions,
3153,Asynchronous IO support,
3145,Asynchronous I/O For subprocess.Popen,
3140,"str(container) should call str(item), not repr(item)",
3142,Add a “while” clause to generator expressions,
3139,Cleaning out sys and the “interpreter” module,
3136,Labeled break and continue,
3133,Introducing Roles,
3130,Access to Current Module/Class/Function,
3128,BList: A Faster List-like Type,
3146,Merging Unladen Swallow into CPython,
3125,Remove Backslash Continuation,
3126,Remove Implicit String Concatenation,
3122,Delineation of the main module,
3117,Postfix type declarations,
3103,A Switch/Case Statement,
3001,Procedure for reviewing and improving standard library modules,
754,IEEE 754 Floating Point Special Values,
722,Dependency specification for single-file scripts,
724,Stricter Type Guards,
713,Callable Modules,
707,A simplified signature for __exit__ and __aexit__,
704,Require virtual environments by default for package installers,
726,Module ,
690,Lazy Imports,
677,Callable Type Syntax,
663,"Standardizing Enum str(), repr(), and format() behaviors",
665,A file format to list Python dependencies for reproducibility of an application,
666,Reject Foolish Indentation,
662,Editable installs via virtual wheels,
651,Robust Stack Overflow Handling,
648,Extensible customizations of the interpreter at startup,
645,Allow writing optional types as ,
650,Specifying Installer Requirements for Python Projects,
640,Unused variable syntax,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
642,Explicit Pattern Syntax for Structural Pattern Matching,
637,Support for indexing with keyword arguments,
633,Dependency specification in pyproject.toml using an exploded TOML table,
631,Dependency specification in pyproject.toml based on PEP 508,
622,Structural Pattern Matching,
608,Coordinated Python release,
606,Python Compatibility Version,
611,The one million limit,
605,A rolling feature release stream for CPython,
601,Forbid return/break/continue breaking out of finally,
599,The manylinux2014 Platform Tag,
620,Hide implementation details from the C API,
598,Introducing incremental feature releases,
595,Improving bugs.python.org,
583,A Concurrency Memory Model for Python,
582,Python local packages directory,
580,The C call protocol,
577,Augmented Assignment Expressions,
576,Rationalize Built-in function classes,
571,The manylinux2010 Platform Tag,
559,Built-in noop(),
555,Context-local variables (contextvars),
554,Multiple Interpreters in the Stdlib,
551,Security transparency in the Python runtime,
550,Execution Context,
549,Instance Descriptors,
548,More Flexible Loop Control,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
575,Unifying function/method classes,
543,A Unified TLS API for Python,
542,Dot Notation Assignment In Function Header,
536,Final Grammar for Literal String Interpolation,
531,Existence checking operators,
522,Allow BlockingIOError in security sensitive APIs,
521,Managing global context via ‘with’ blocks in generators and coroutines,
516,Build system abstraction for pip/conda etc,
510,Specialize functions with guards,
509,Add a private version to dict,
511,API for code transformers,
502,String Interpolation - Extended Discussion,
507,Migrate CPython to Git and GitLab,
504,Using the System RNG by default,
513,A Platform Tag for Portable Linux Built Distributions,
500,A protocol for delegating datetime methods to their tzinfo implementations,
497,A standard mechanism for backward compatibility,
490,Chain exceptions at C level,
496,Environment Markers,
481,"Migrate CPython to Git, Github, and Phabricator",
474,Creating forge.python.org,
473,Adding structured data to built-in exceptions,
469,Migration of dict iteration code to Python 3,
463,Exception-catching expressions,
460,Add binary interpolation and formatting,
462,Core development workflow automation for CPython,
459,Standard Metadata Extensions for Python Software Packages,
472,Support for indexing with keyword arguments,
455,Adding a key-transforming dictionary to collections,
439,Inclusion of implicit pip bootstrap in Python installation,
437,"A DSL for specifying signatures, annotations and argument converters",
433,Easier suppression of file descriptor inheritance,
431,Time zone support improvements,
432,Restructuring the CPython startup sequence,
426,Metadata for Python Software Packages 2.0,
411,Provisional packages in the Python standard library,
416,Add a frozendict builtin type,
413,Faster evolution of the Python Standard Library,
410,Use decimal.Decimal type for timestamps,
408,Standard library __preview__ package,
406,Improved Encapsulation of Import State,
402,Simplified Package Layout and Partitioning,
422,Simpler customisation of class creation,
396,Module Version Numbers,
401,BDFL Retirement,
395,Qualified Names for Modules,
390,Static metadata for Distutils,
